price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,location
13300000,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished,Downtown Central
12250000,8960,4,4,4,yes,no,no,no,yes,3,no,furnished,West Greens
12250000,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished,Riverside Bay
12215000,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished,Downtown Central
11410000,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished,West Greens
10850000,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished,Riverside Bay
10150000,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished,Downtown Central
10150000,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished,West Greens
9870000,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished,Riverside Bay
9800000,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished,Downtown Central
9800000,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished,Tech Park Cyber City
9681000,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished,East Expressway
9310000,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished,Downtown Central
9240000,3500,4,2,2,yes,no,no,yes,no,2,no,furnished,West Greens
9240000,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished,Riverside Bay
9100000,6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished,Suburban North
9100000,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished,Tech Park Cyber City
8960000,8500,3,2,4,yes,no,no,no,yes,2,no,furnished,East Expressway
8890000,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished,Suburban North
8855000,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished,Tech Park Cyber City
8750000,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished,East Expressway
8680000,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished,Suburban North
8645000,8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished,West Greens
8645000,4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished,East Expressway
